"name","responsibility","requirement","currency","from","to"
"Грузчик","Погрузо-разгрузочные работы на складе. Разгрузка-погрузка грузового автотранспорта. Размещение груза на складе.","Требуются сотрудники с опытом и без опыта работы в данном направлении. Исполнительность, не конфликтность.","RUR","44000","48000"
"Повар судовой","Приготовление блюд для гостей ресторана на борту круизного лайнера (холодный, горячий, кондитерский цех, паста, буфет, гриль). Подготовка и заготовка продуктов. ","Английский- разговорный. Кандидаты без знания английского не рассматриваются. Опыт работы от 1 года. Профессиональное образование (Любой уровень) желательно.","RUR","50000","90000"
"Инженер-электрик","Управление, координация и контроль процесса установки оборудования с технической и управленческой точек зрения. Чтение и разъяснение технических чертежей и схем. ","Образование: высшее техническое. Уверенный пользователь ПК, MS Office. Знание английского языка на уровне Intermediate и выше. Готовность к командировкам различной...","RUR","null","53000"
"Водитель такси","Выполнение заказов Яндекс-такси.","Водительское удостоверение категории &quot;B&quot;. Стаж вождения для аренды авто от 3-х лет (по правам).","RUR","40000","null"
"Sales-менеджер (г.Сочи)","Проведение ежедневных телефонных переговоров с нашими клиентами. -Консультирование по объектам недвижимости и поиск оптимального решения в интересах. -Презентации объектов недвижимости.","Обладаете достаточной смелостью, чтобы мечтать и стремиться к амбициозным целям. -Для Вас любое возражение не преграда, а призыв к действию.","RUR","100000","null"
"Водитель автобуса регулярных пассажирских маршрутов","Перевозка пассажиров на регулярных городских пассажирских маршрутах города Москвы.","Наличие водительского удостоверения с категорией «Д». Наличие водительского удостоверения с категорией «В», «С»: проводится обучение на категорию «Д» (обучение 2...","RUR","43000","60000"
"Массажист","Выполнять различные виды массажа.","Медицинское образование. Соответствующий сертификат. Опыт работы желателен.","RUR","37000","null"
"Старший администратор","Управление администраторами. Контроль качества обслуживания гостей. Работа с групповыми бронированиями. Оформление и контроль заселения и выселения гостей. Своевременное обеспечение всех...","Высшее образование. Преимуществом будет опыт работы старшим администратором или управляющим. Опыт прохождения проверок разрешающих инстанций (СЭС, пожарная инспекция, Роспотребнадзор), понимание...","RUR","60000","null"
"Водитель цементовоза","Перевозка груза.","Опыт работы желателен.","RUR","55000","null"
"Торговый представитель/менеджер активных продаж","Поиск новых клиентов на закрепленной территории. Поддержание и увеличение действующей клиентской базы. Проведение встреч,переговоров,заключение договоров. Выявление потребностей клиента. ","Ответственное отношение к поставленным задачам. Умение работать в команде. Коммуникабельность,дисциплинированность,ориентированность на клиента. Знание программы 1С ТиС(желательно). ","RUR","45000","65000"
"Менеджер по работе с клиентами","Входящие и исходящие звонки. Расчет стоимости заказов. Ведение документооборота. Заполнение CRM.","Грамотная речь, доброжелательность. Опыт работы в продажах услуг (банковских, телекоммуникационных и т.д) или call-центре будут преимуществом. ","RUR","25000","55000"
"Менеджер активных продаж","Работа с клиентской базой​: поддержание, развитие, привлечение​. Консультирование представителей малого и среднего бизнеса по вопросам защиты интеллектуальной собственности по РФ. ","Активным и амбициозным. Нацеленным на результат. Иметь опыт продаж. Иметь желание расти и развиваться.","RUR","30000","60000"
"Слесарь по сборке металлоконструкций","Работа в паре со сварщиком. Чтение чертежей. Сборка металлоконструкций (кабин путевых машин).","От 4 разряда. Опыт работы от 3х лет. Навыки прихватки сваркой.","RUR","56000","58000"
"Торговый представитель","Прямые продажи, переговоры и совершение сделок, регулирование работы с дилерами и розницей в регионе. Работа с существующей активной базой клиентов...","Опыт в продажах от года, умение проводить переговоры и презентации, работать с возражениями и &quot;дожимать сделки&quot;. Опыт продаж в регионе...","RUR","40000","50000"
"Слесарь КИПиА","Выполнение работ КИПиА.","Опыт работы от 3 лет. Наличие документа подтверждающего квалификацию обязательно.","RUR","55000","null"
"Инженер-Геодезист в Калужскую область","Вынос в натуру трасс, дорог, других линейных коммуникаций. Выполнение топографических съемок всех масштабов. Контроль строительно-монтажных работ. Исполнительная документация, исполнительная...","Опыт работы в строительстве дорог от года. Умение и навыки работы с геодезическими приборами эл. тахеометр‚ GPS-оборудование, нивелир. ","RUR","60000","70000"
"Электромонтажник","Работа на высоте. Электромонтажные работы.","Опыт работы от 3 лет. Наличие документа подтверждающего квалификацию обязательно.","RUR","55000","null"
"Упаковщица/упаковщик","Полная информация по телефону.","null","RUR","25000","66000"
"Уборщик","Полная информация по телефону.","null","RUR","40000","90000"
"Полицейский (г. Москва)","На собеседование приходить ( рубашка, брюки, туфли) соблюдать форму одежды.","Приглашаем отслуживших в ВС РФ (группа А), имеющих среднее (полное), средне-специальное или высшее образование. на службу в наше подразделение.","RUR","40000","null"
"Контролер ОТК","Контроль качества металла, оборудования, участков гибки и сварных соединений трубопроводов по заявкам при входном контроле и изготовлении продукции. ","5 разряд. Опыт от 3 лет.","RUR","52000","54000"
"Менеджер по работе с партнерской сетью","Поиск и привлечение новых партнеров. Работа с существующей партнерской базой. Анализ эффективности работы с партнерами. Ведение отчётности и документации. ","Опыт работы в сфере продаж или маркетинга. Опыт работы с партнерской сетью. Отличные коммуникативные навыки, опыт переговоров с первыми лицами...","RUR","45000","80000"
"Представитель Тинькофф Банка","Проводить встречи с клиентами, доставлять продукцию Банка. Консультировать клиентов по их вопросам. Мотивировать клиента подключить дополнительные услуги.","Наличие автомобиля. Готовность к выездам до 100 км, 1-2 раза в неделю. Умение ориентироваться в городе. Грамотная речь.","RUR","40000","null"
"Наладчик станков с ЧПУ","Обработка корпусных деталей из цветных металлов по 5-7 квалитету.","С 4-6 разряд. Токарная группа. Опыт работы на стойках Синумерик и Фанук; Станок Беленгер и Пума.","RUR","66000","null"
"Слесарь механосборочных работ","Сборка двух новых токарно-фрезерных станков из оригинальных деталей и покупных комплектующих. Разборка, ремонт, сборка четырех вулканизационных прессов.","Разряд 4-6. Чтение чертежей. Желательно (не обязательно) смежные профессии: сверловщик, шлифовщик, наладчик.","RUR","55000","null"
"Слесарь РПС дизелист","Выполнение технического обслуживания, капитального и текущего ремонта локомотивам (тепловозов и электровозов). Разборка, ремонт и сборка основных узлов подвижного состава. ","Разряд не ниже 4-го. Опыт работы от 1 года по специальности в железнодорожной сфере по техническому обслуживанию и текущему...","RUR","150000","null"
"Няня","Обязанности: помощь по дому (готовка, глажка, уборка-небольшой объем), развивающие занятия с ребенком, забирать из школы(иногда), водить на занятия...","Желательно написать и рассказать о себе кратко, указать возраст, курение, семейное положение, знание английского, дать ссылку на свою страничку в...","RUR","39000","60000"
"Охранник","Оперативная группа охраны / мобильная группа охраны. Рестораны. Магазины (элитная парфюмерия и косметика, одежда, продукты). Гипермаркеты бытовой техники и электроники. ","Рассматриваем кандидатов с опытом работы в охране. Наличие действующего УЛЧО обязательно! Аккуратность, ответственность, желание работать.","RUR","55000","72000"
"Охранник","Охранник/сотрудник охраны на вахту с питанием. - Контроля соблюдения режима на охраняемом объекте, предотвращения хищений. - Обеспечения безопасности сотрудников и посетителей...","Рассматриваем кандидатов с опытом и без опыта работы. - Возможно без УЛЧО. - Аккуратность, ответственность.","RUR","38000","null"
"Сварщик на полуавтомат","Сварка металлоконструкций. Работа под контроль РГ и УЗД.","Наличие НАКС. Опыт работы не менее 5 лет. Разряд не ниже 4го.","RUR","90000","120000"
"Охранник","Дежурство в офисе, выезды на охраняемые объекты при не выходе основного сотрудника, экстренная подмена сотрудников. Ведение постовой документации.","Рассматриваем кандидатов с опытом работы в охране. Наличие действующего УЛЧО обязательно! Аккуратность, ответственность, желание работать. Офис рядом ст. м. ","RUR","54000","null"
"Менеджер по развитию бизнеса","Осуществление мониторинга рынков с целью поиска новых потенциальных секторов и клиентов. Ведение полного цикла продаж логистических услуг. Ведение активной коммерческой...","Умение вести переговоры на уровне первых лиц. Знание логистических процессов и ВЭД. Английский - intermediate/upper - intermediate. Активность, коммуникабельность, грамотная речь. ","RUR","100000","null"
"Эксперт по продажам","Проведение ежедневных телефонных переговоров с нашими клиентами (с входящим потоком клиентов). Поиск и подбор оптимального решения в интересах клиента. ","Энергичностью и инициативностью. Стремлением к постоянному обучению. Способностью убеждать и ориентацией на результат. Навыками планирования и управления своим рабочим временем.","RUR","100000","null"
"Продавец-дизайнер корпусной мебели","Профессионально консультировать клиентов. - Поддерживать высокий уровень сервиса. - Разрабатывать дизайн-проекты интерьеров. - Работать с кассой и вести документооборот/отчетность. - ","Ты готов улыбаться и дарить хорошее настроение даже в конце рабочего дня. - Опыт работы в дизайнерской программе и 1С.","RUR","20000","70000"
"Руководитель отдела продаж","Определение такой стратегии продаж, чтобы выполнение планов зашкаливало, а самые крупные клиенты сотрудничали только с нами. Организация дня клиента, участие...","Опыт работы Руководителем отдела продаж (желательно в сфере услуг), в подчинении не менее 5 менеджеров по продажам. Опыт работы с...","RUR","40000","null"
"Слесарь","Сборка узлов и механизмов средней категории сложности.","Чтение чертежей. От 4 разряда. От 2 лет опыт работы.","RUR","57000","63000"
"Сантехник","Замена трубопроводов горячего и холодного водоснабжения, а так же центрального отопления и водоотведения (металл, полипропилен, ПВХ, чугун). Соблюдение трудовой дисциплины...","Опыт работы по специальности от 3-х лет. Аккуратность при исполнении работы.","RUR","50000","null"
"Менеджер-консультант","Проведение уроков по развитию женской привлекательности и интимному здоровью. - Ведение блога в соц.сетях. - Консультативная помощь своим клиентам в области развития...","Приносит хорошую прибыль.","RUR","15000","50000"
"Региональный представитель отдела взыскания","Взыскание просроченной задолженности на досудебной стадии и по исполнительному производству. - Телефонные переговоры по собственной постоянной базе заёмщиков с просрочкой 90...","Для развития региона, в компанию требуется активный, целеустремлённый сотрудник с желанием карьерного роста. - Достижение высоких результатов. - Опыт работы в сфере...","RUR","20000","60000"
"Работник склада (Москва)","Формирование (комплектация) заказов. - Упаковка товара. - Расклейка штрих-кодов (стикеровка). - Выполнение погрузо-разгрузочных работ. - Прочие операции без специальной подготовки.","Опыт работы не требуется – всему обучим в процессе работы!","RUR","37000","67000"
"Слесарь-сборщик МК","Сборка металлоконструкций по чертежам.","Опыт работы, чтение чертежей.","RUR","54000","57000"
"Инженер-конструктор","null","Проектирование, модернизация станков. Выпуск чертежей. Ведение проектов. Опыт работы в машиностроении или станкостроении.","RUR","70000","null"
"Монтажник технологических трубопроводов","Монтаж опор и скользячек. Монтаж технического трубопровода. Чтение чертежей.","Наличие удостоверения (от 5 разряда). Опыт работы от 3-х лет.","RUR","80000","null"
"Мастер слесарного участка","Планирование и распределение работ на слесарном участке. Решение организационных вопросов со смежными подразделениями. Организация учета материалов на участке.","Опыт управления коллективом 20 чел. Уверенный пользователь ПК. Умение читать чертежи. Опыт работы в 1С УПП.","RUR","30000","50000"
"Начальник производственно-диспетчерского отдела","Оперативное производственное планирование и управление производством. Контроль и координация деятельности производственных подразделений по выполнению производственных программ выпуска продукции. ","Опытный пользователь ПК (MS Office, Excel, 1C). Опыт работы в производственной компании от 3х лет. Знание технологии машиностроения...","RUR","70000","80000"
"Инженер-схемотехник","Участие в серийном тестировании, загрузке ПО, нагрузочных испытаниях, доработке новых моделей (20-30 типов). Ремонт модулей, приходящих с эксплуатации.","Образование высшее техническое. Опыт работы от 5 лет. Глубокие знания аналоговой и цифровой техники. Желательно участие в разработке РЭА, компьютерного...","RUR","40000","70000"
"Слесарь механосборочных работ","Сборка металлоконструкций по чертежам.","Чтение чертежей.","RUR","50000","55000"
"Маляр по металлу","Окрашивание поверхностей, требующих высококачественной отделки, после нанесения шпаклевок и грунтовочных слоев красками и лаками. Шлифование поверхностей. Полирование поверхностей. ","Опыт работы маляром по металлу.","RUR","45000","null"
"Оператор call-центра","Вовремя рассказывать нашим действующим клиентам об изменениях в тарифных планах. Заполнять заявки на подключение домашнего интернета и цифрового телевидения. ","Уверенный пользователь компьютера.","RUR","20000","80000"
"Инженер-механик","Обслуживание клиентов: анализ проблем, идентификация причин поломок, приобретение запасных частей, консультация клиентов по техническим вопросам. Осуществление сервисных работ: устранение дефектов...","Высшее/среднее специальное техническое образование. Опыт в работе с промышленной техникой не менее 2 лет. Умение читать гидро- и электросхемы. ","RUR","46000","55000"
"Литейщик санитарно-строительных изделий","Литье и оправка керамических изделий на стенде. Заливка форм шликером. Очистка, сборка, промывка форм. Разъем форм и выемка отлитых изделий. ","null","RUR","25000","60000"
"Менеджер по продажам автомобилей, Корс Авто","Продажа автомобилей с пробегом. Проведение тест - драйвов. Ведение переговоров с клиентами на всех этапах продажи, закрытие сделок. Ведение клиентской базы. ","Высшее образование. Опыт работы в продажах более 1 года. Развитые коммуникативные навыки. Знание 1С. Грамотная речь. Ответственность.","RUR","55000","null"
"Кладовщик-комплектовщик (Тула)","Обязанности: комплектация заказов в магазины торг. сети с помощью сканера. Работа с ТСД.","null","RUR","28000","48000"
"Менеджер по сопро‎вождению клиентов","Вести существующих партнеров. Вести аналитику по действующим кампаниям, оценивать их эффективность и на основе этих данных давать рекомендации клиентам по...","У тебя есть опыт работы от одного года на позиции аккаунт-менеджера или менеджера по продажам. У тебя аналитический склад...","RUR","40000","60000"
"Электрогазосварщик (НАКС ОХНВП РАД,РД)","Сварка технологических трубопроводов.","Опыт работы. Наличие действующего НАКС ОХНВП РАД или РД.","RUR","90000","null"
"Системный аналитик","Проектирование и разработка переноса данных в среду SAP из других БД. Администрирование учетных пользователей в SAP. Разработка на Oracle, PL...","Высшее техническое образование. Знание теории реляционных баз данных и SQL. Навыки разработки систем на основе промышленных СУБД (Oracle, MS SQL). ","RUR","40000","null"
"Ведущий инженер","Участие в серийном тестировании, загрузке ПО, нагрузочных испытаниях, доработке новых моделей (20-30 типов). Ремонт модулей, приходящих с эксплуатации.","Образование высшее техническое. Опыт работы от 5 лет. Глубокие знания аналоговой и цифровой техники. Желательно участие в разработке РЭА, компьютерного...","RUR","40000","70000"
"Полицейский","1 оперативный полк полиции ГУ МВД России по г. Москве осуществляет охрану общественного порядка и общественной безопасности в лесопарковых зонах...","Оперативное подразделение ГУ МВД РФ по г. Москве – 1 оперативный полк полиции приглашает для прохождения службы на должность полицейский граждан...","RUR","46000","55000"
"Электромонтажник / слесарь КИПиА","Сборка лотков , шкафов , коробов. Прокладка кабеля. Расключка. Монтаж силовых сетей.","Опыт работы. Наличие удостоверения и записи в трудовой книжке.","RUR","65000","null"
"Слесарь РПС","Выполнение технического обслуживания, капитального и текущего ремонта локомотивам (тепловозов и электровозов). Разборка, ремонт и сборка основных узлов подвижного состава.","Разряд не ниже 4-го. Опыт работы от 3 лет по специальности в железнодорожной сфере по техническому обслуживанию и текущему...","RUR","140000","null"
"Торговый представитель на личном авто (без поиска новых клиентов)","Достижение показателей по объёму продаж (ТАБАЧНАЯ ПРОДУКЦИЯ). - Контроль запасов продукции и работа с заказом. - Презентация продукции. - Посещение торговых точек по...","Наличие личного автомобиля и готовность его использовать в работе. - Опыт работы от 1 года в продажах. - Навыки продаж. - ","RUR","36000","56000"
"Охранник","Дежурство в офисе, выезды на охраняемые объекты при не выходе основного сотрудника, экстренная подмена сотрудников. Ведение постовой документации.","Рассматриваем кандидатов с опытом работы в охране. Наличие действующего УЛЧО обязательно! Аккуратность, ответственность, желание работать. Офис рядом ст. м. ","RUR","56000","null"
"Главный технолог фанерного производства","Внедрение техпроцессов фанерного производства. Контроль качества продукции, участие в разработке мероприятий по ликвидации брака и дефектов в производстве. ","Хорошие знания технологий производства фанеры. Ответственность, высокий уровень самоорганизации. Обязателен опыт руководства техпроцессом фанерного производства. Высшее образование.","RUR","100000","null"
"Охранник","Дежурство в офисе, выезды на охраняемые объекты при не выходе основного сотрудника, экстренная подмена сотрудников. Ведение постовой документации.","Рассматриваем кандидатов с опытом работы в охране. Наличие действующего УЛЧО обязательно! Аккуратность, ответственность, желание работать.","RUR","55000","70000"
"Охранник","Дежурство в офисе, выезды на охраняемые объекты при не выходе основного сотрудника, экстренная подмена сотрудников. Ведение постовой документации.","Рассматриваем кандидатов с опытом работы в охране. Наличие действующего УЛЧО обязательно! Аккуратность, ответственность, желание работать. Офис рядом ст. м. ","RUR","55000","72000"
"Ведущий менеджер по персоналу","Контроль и координация отдела в зоне своей ответственности. Выполнение поручений руководителя. Мониторинг рынка труда и конкурентов. Аналитика эффективности работы рекламных...","Высшее образование. Знание программ MC Office. Желателен опыт работы в 1С. Опыт работы в HR- сфере.","RUR","null","50000"
"Охранник","Магазины. Автосалоны. Складские комплексы. Строящиеся объекты. Бизнес-центры. Жилые комплексы. Контроль соблюдения режима на охраняемом объекте, предотвращение хищений. ","Рассматриваем кандидатов с опытом и без опыта работы. Возможно без УЛЧО. Аккуратность, ответственность, желание работать.","RUR","50000","null"
"Разнорабочий","Выполнение вспомогательных работ на строительном участке.","Хорошая физическая подготовка и выносливость. Наличие необходимы документов для трудоустройства (Обязательно: Паспорт, СНИЛС, желательно: ИНН, трудовая книжка).","RUR","40000","null"
"Go middle developer","Доработка и поддержка CRM департамента. Разработка и развитие серверной стороны высоконагруженных веб-приложений в области систем видеонаблюдения.","Уверенное владение языком программирования Go. Обязательное знание SQL и опыт работы с СУБД (желательно PostgreSQL 9.3+). ","RUR","30000","50000"
"Электромонтажник","null","null","RUR","46000","56000"
"Слесарь-сборщик","На работу вахтовым методом в Ростовскую область требуется слесарь-сборщик. Выполнение работ по сборке деталей и блоков трубопроводов. ","5 разряд, от 3 лет опыт работы. Уверенное чтение чертежей.","RUR","60000","60000"
"Территориальный менеджер","Управление командой группы офисов продаж. Подбор и проведение собеседований, администрирование кадровых вопросов. Обучение и адаптация новых сотрудников. Контроль внедрения и...","Высшее образование. Опыт работы в аналогичной должности в розничном бизнесе от 3 лет. Умение работать в условиях многозадачности. ","RUR","60000","null"
"Наладчик на фрезерную группу станков ЧПУ","Выполнение работ на станке,стойка &quot;Фанук&quot;.","5 разряд. Опыт работы.","RUR","76000","78000"
"Кредитный специалист в офис","Консультирование клиентов по условиям кредитования. Работа с имеющейся клиентской базой и ее расширение. Оценка платёжеспособности клиентов. Сопровождение клиента по обязательствам...","Доброжелательность и интерес к людям. Грамотная речь, хорошие навыки общения. Честность, ответственность, внимательность. Стремление развиваться и строить свою карьеру. ","RUR","16500","50000"
"Менеджер по работе с ключевыми клиентами","Ведение полного документооборота (договора, накладные, счет-фактуры и т.д.). Организация отгрузок ключевым клиентам (федеральные и региональные сети). ","Аналогичный опыт работы от 2 лет. Высшее образование (желательно). Опыт работы с оптовыми и/или сетевыми клиентами. Опыт работы в...","RUR","45000","55000"
"Директор по развитию розничной сети","Поиск помещений, удовлетворяющих требованиям компании, заключение договоров аренды на условиях арендатора. Ведение переговоров с потенциальными арендодателями. Подготовка презентации объекта. ","Опыт работы от 3 лет на руководящей должности, в торговле. Знание регионального рынка ритейла, его конъюнктуру, особенности и специфику. ","RUR","60000","null"
"Механик по ремонту холодильного оборудования","Техническое обслуживание и ремонт торгового и промышленного холодильного оборудования.","Ответственность.","RUR","null","60000"
"Электромонтажник","null","От 4 разряда, опыт от 3 лет.","RUR","57000","null"
"Водитель автопоезда","Перевозка грузов в международном направлении. Работа с разрешительными и таможенными документами. Контроль правильности заполнения товарно-сопроводительных документов. Распределение груза согласно...","Знание специфики организации автомобильных перевозок в международном сообщении. Дисциплинированность, ответственность и порядочность. Опыт работы от 1 года на перевозках ЕС...","RUR","50000","100000"
"Полицейский (водитель) группы задержания","Исполнение должностных обязанностей, согласно должностного регламента, в рамках нормативно правового законодательства РФ.","Требуются кандидаты на должности, прошедшие срочную службу в вооруженных силах (для военнообязанных), имеющие образование не ниже среднего полного.","RUR","55000","60000"
"Слесарь механосборочных работ","Поузловая сборка конструкций, согласно чертежам. Навыки стропальщика, сборка узлов путевых машин.","От 4 разряда, опыт от 3 лет.","RUR","59000","null"
"Старший полицейский группы задержания","Исполнение должностных обязанностей, согласно должностного регламента, в рамках нормативно правового законодательства РФ.","Описание работодателя: 1 рота 1 отдельного батальона полиции Войск Национальной гвардии России по городу Москве. Требуются кандидаты на должности, прошедшие...","RUR","55000","60000"
"Начальник производства","Руководство производственно-хозяйственной деятельностью цеха. Текущее планирование работы цеха. Организация своевременной подготовки производства. Контроль за обеспечением материальными ресурсами и их...","Высшее техническое образование. Опыт работы от 3-х лет. Необходимые документы при прохождении собеседования: паспорт, СНИЛС, документ об образовании +вкладыш...","RUR","60000","null"
"Менеджер по розничным торговым точкам","Увеличение активной клиентской базы. Обеспечение представленности продукции в торговых точках. Увеличение дистрибуции. Контроль остатков товара. Контроль поступления товара в торговые...","Опыт работы в продажах. Опыт работы торговым представителем, менеджером по продажам. Уверенный пользователь ПК. Ответственность, коммуникабельность, исполнительность. Активная жизненная позиция...","RUR","25000","55000"
"Менеджер по работе с корпоративными клиентами","Сопровождение и развитие действующих Клиентов Компании: проведение встреч, переговоров, подготовка коммерческих предложений, урегулирование конфликтных ситуаций, работа с дебиторской задолженностью. ","Высшее образование (обязательно очная, бюджетная форма обучения). Успешный опыт работы с Клиентами. Опыт управление персоналом. Наличие автомобиля (ГСМ, амортизация). ","RUR","60000","85000"
"Токарь-карусельщик","Работа на токарно-карусельном станке.","Наличие соответствующей записи в трудовой книжке, подтверждающей опыт работы. Наличие удостоверения токаря.","RUR","66000","71500"
"Токарь-карусельщик","Умение читать чертежи. Работа на станках 1516Ф1, 1525Ф1. Обработка стали, чугуна. Размер деталей от 100мм...","Наличие соответствующей записи в трудовой книжке, подтверждающей опыт работы. Наличие удостоверения.","RUR","63250","63250"
"Руководитель группы по привлечению корпоративных клиентов","Формирование и развитие команды менеджеров – от 7 сотрудников. Системная организация поиска и привлечения юридических лиц и ИП на обслуживание в...","Успешный опыт управления продажами от 1,5 лет в банковской или страховой сфере. Высокоразвитый навык продаж юридическим лицам и ИП. ","RUR","90000","null"
"Оператор ЭВМ","Оформление горячих заказов с различных интернет магазинов. - Прозвон базы клиентов с целью совершения повторной продажи (Теплые звонки). - Продажа банковских продуктов. - ","После практики возможен переход на другие проекты,либо совмещать по желанию. Грамотная, поставленная речь. Знание ПК / Понимание что такое CRM...","RUR","20000","60000"
