"name","responsibility","requirement","currency","from","to"
"Охранник","Магазины. Автосалоны. Складские комплексы. Строящиеся объекты. Бизнес-центры. Жилые комплексы. Контроль соблюдения режима на охраняемом объекте, предотвращение хищений. ","Рассматриваем кандидатов с опытом и без опыта работы. Возможно без УЛЧО. Аккуратность, ответственность, желание работать.","RUR","50000","null"
"Главный системный администратор","Поддержка и развитие домена на Windows Server 2008, создание групповых политик. Обеспечение бесперебойной работы сервисов под управлением Windows Server 2008...","Высшее профессиональное образование. Системный подход к решению проблем. Опыт работы в аналогичной должности не менее 5 лет. Преимуществом будут знания...","RUR","44000","null"
"Торговый представитель","Увеличение объёмов продаж в розничном сегменте, развитие территории. Выполнение поставленных задач. Выстраивание коммуникации с ЛПР в торговых точках. ","Опыт работы в продажах торговым представителем от 1 года. Опыт работы с DIY сегментом (строительный рынок) или FMCG. ","RUR","50000","null"
"Старший бухгалтер","Составление бухгалтерской и налоговой отчетности. Составление регистров бухгалтерского и налогового учета. Расчет налога на имущество и составление декларации. ","Обязателен опыт работы в должности главного бухгалтера либо заместителя главного бухгалтера. Опыт работы в транспортных компаниях. Отличное знание ОСНО, УСН...","RUR","55000","55000"
"Инженер-технолог","Ensure all Engineering problems are resolved to achieve customer delivery dates / quality and companies targets. Support and develop production in...","Technical education (engineering degree). Further commercial and product management education would be an advantage. Excellent knowledge and experience in Design...","RUR","50000","60000"
"Менеджер по продажам (промышленный сегмент)","Осуществление продаж профессионального инструмента и оборудования на вверенной территории предприятиям промышленности. Осуществление визитов к клиентам, 80% работа &quot;в полях&quot;. ","Высшее образование (желательно техническое / металлообработка ). Опыт прямых продаж в секторе B2B (&quot;в полях&quot;). Опыт работы в отделе прямых...","RUR","40000","null"
"Слесарь-ремонтник ГПМ (г. Сергиев Посад)","Ремонт механической части кран-балок, мостовых и башенных кранов.","Опыт работы от 5 лет. Знание устройства конструктивных особенностей подъемных сооружений.","RUR","65000","null"
"Менеджер по продажам","Работа с покупателями в торговом зале. Консультации‚ оформление заказов. Поддержание чистоты и порядка. Выполнение планов продаж.","Умение общаться с людьми. Уверенность в себе. Легкая обучаемость. Настойчивость в достижении результата.","RUR","35000","55000"
"Менеджер по продажам","Ведение клиентской базы. Ответ на входящие заявки. Холодные продажи. Контроль отгрузки. Контроль документооборота. Заполнение CRM.","Опыт работы в телефонных продажах в сфере B2B. Уверенный пользователь ПК. Грамотная речь. Коммуникабельность.","RUR","15000","80000"
"Охранник","Магазины. Автосалоны. Складские комплексы. Строящиеся объекты. Бизнес-центры. Жилые комплексы. Контроль соблюдения режима на охраняемом объекте, предотвращение хищений. ","Рассматриваем кандидатов с опытом и без опыта работы. Возможно без УЛЧО. Аккуратность, ответственность, желание работать.","RUR","45000","57000"
"Гувернантка/Гувернер","Обязанности: помощь по дому (готовка, глажка, уборка-небольшой объем), развивающие занятия с ребенком, забирать из школы(иногда), водить на занятия...","Желательно написать и рассказать о себе кратко, указать возраст, курение, семейное положение, знание английского, дать ссылку на свою страничку в...","RUR","39000","60000"
"Машинист крана","Работа на козловом и мостовом кране.","Наличие соответствующей записи в трудовой книжке, подтверждающей опыт работы. Наличие удостоверения.","RUR","49500","55000"
"Оператор call-центра","Продажа необходимости обучения лиц обязанных обучиться, но не прошедших обучение.","Опыт холодных продаж от 1 года (Наши продажи не совсем холодные, но такой опыт у вас должен быть). ","RUR","30000","70000"
"Руководитель гальванического производства","Ввод в эксплуатацию и обеспечение бесперебойной работы гальванического производства. Планирование работ. Обеспечение материалами. Знание и обеспечение соблюдения правил Техники безопасности .","Высшее образование (техническое по специальности). Опыт работы от 5-ти лет.","RUR","40000","null"
"Охранник","Охрана действующего завода.","1. Для трудоустройства обязательно наличие УЛЧО (лицензии). 2. Ответственность. 3. Служба в Вооруженных силах (для военнообязанных), правоохранительных органах или опыт...","RUR","54000","60000"
"Наладчик станков с ЧПУ","null","От 4-5 разряда. Запись в ТК (опыт от 3х лет).","RUR","76000","78000"
"Учетчик (склад)","Ведение учета ТМЦ на складе (прием / выбытие / перемещение), проведение операций в программе 1С. Учет давальческого материала (стройматериалы, оборудование). ","Опыт работы учетчиком, бухгалтером не менее 2-х лет. Знание программы 1С, Excel. Опыт работы в строительстве.","RUR","50000","55000"
"Слесарь по сборке металлоконструкций","Сборка полувагона по чертежам.","Квалификационный разряд от 3. Наличие документального подтверждения о/р. Желательно наличие группы по электробезопасности не ниже 2 (если нет, сделаем...","RUR","60000","null"
"Шиномонтажник","Выполнение шиномонтажных работ.","Опыт работы желателен. Исполнительность, ответственность.","RUR","25000","50000"
"Менеджер по продажам","Компания обучает сотрудников работе с продуктами и методами продаж, проводит адаптацию, во всем помогает новичкам.","У тебя грамотная речь, ты умеешь располагать к себе людей и убеждать. Ты целеустремленный и не мыслишь шаблонами.","RUR","45000","null"
"Автомеханик Skoda","Ремонт и обслуживание автомобилей у официального дилера Skoda. Работы по ходовой, трансмиссии, ремонт агрегатов и узлов автомобиля. Шиномонтаж и развал...","Профильное образование. Знание устройства автомобиля. Опыт ремонта автомобилей на дилерской станции (группа VAG) будет Вашим преимуществом .","RUR","25000","50000"
"Продавец-консультант новых автомобилей","Встреча и консультирование клиентов. Отработка всех этапов продажи:","Высокая клиентоориентированность, доброжелательность. Обучаемость, нацеленность на результат. Желание развиваться в автомобильном бизнесе. Уверенный пользователь ПК. Водительское удостоверение кат. «","RUR","50000","null"
"Арматурщик-жестянщик","Разборка-сборка а/м. Рихтовка, сварка, кузовные работы с а/м. Описание повреждений а/м.","Опыт работы на аналогичной должности от 3-х лет. Уверенный пользователь ПК. Внимательность, ответственность.","RUR","30000","50000"
"Установщик дополнительного оборудования","Установка сигнализаций, иммобилайзеров. Установка механических блокираторов. Установка систем предпускового подогрева (Webasto). Диагностика и гарантийный ремонт оборудования.","Умение читать схемы. Ответственное отношение к работе и автомобилю. Опыт работы с диагностикой и устранением неисправностей электрооборудования. Желателен опыт работы...","RUR","40000","null"
"Водитель грузового транспорта","Осуществление междугородних (вся Россия) и международных (Эстония) перевозок на автовозах VOLVO, IVECO, MERCEDES (перевозка легковых автомобилей).","Водительское удостоверение (категории: B,C,E). Опыт работы по категории СЕ не менее 1 года. Внимательность, ответственность, желание работать и...","RUR","65000","110000"
"Менеджер по работе с клиентами (город Тула)","Поддержание лояльности клиентов к нашей компании. Сбор дебиторской задолженности. Участие в разработке стратегии по развитию проекта клиентов. Проведение презентаций и...","Имеете опыт работы в сфере клиентского сервиса или продажах от года. Обладаете грамотной устной и письменной речью. Нацелены на профессиональный...","RUR","45000","null"
"Специалист по контекстной рекламе (город Тула)","Ведение рекламных кампаний. Анализ новых проектов и отчетность по текущим. Подготовка рекомендаций для менеджеров по работе с клиентами на основе...","Опыт в контекстной рекламе. Опыт работы с Яндекс.Метрикой и Google Analytics. Ответственность и инициативность. Аналитический склад ума.","RUR","45000","null"
"Полицейский в г. Москве","Обязанности: обеспечение общественного порядка и общественной безопасности при проведении массовых мероприятий на территории г. Москвы (спортивные, культурно-массовые, религиозные, политические). ","приглашаются активные, годные к строевой службе по состоянию здоровья и имеющие образование не ниже полного среднего (11 классов ).","RUR","43000","50000"
"Торговый представитель Калуга","Активный поиск и привлечение новых клиентов. Обслуживание запаса продукции в торговых точках. Контроль наличия согласованного ассортимента в торговых точках. ","Опыт работы торговым представителем, не менее 1 года. Активная жизненная позиция, трудолюбие, коммуникабельность, целеустремлённость.","RUR","45000","null"
"Комплектовщик (Наро-Фоминский район)","Комплектовка игрушек, каждый сотрудник работает на своём участке со своим нормативом.","опыт работы не требуется, только ваше желание работать и зарабатывать. Всему обучим в процессе работы.","RUR","60000","null"
"Наладчик КИПиА","Ремонт и обслуживание КИПиА оборудования.","Опыт наладки, ремонта технологического оборудования. Образование не ниже средне-специального. Аккуратность, трудолюбие, обучаемость, инициативность. Знание основ автоматики, электроники. Пользователь ПК.","RUR","40000","null"
"Автослесарь","Диагностика узлов автомобиля с целью выявления неисправностей. Ремонт и техническое обслуживание автомобилей, в соответствии с технологией производителя и корпоративными стандартами...","Знание общего устройства автомобиля и технические требования, предъявляемые при ремонте автомобиля. Навыки выявления неисправностей, ремонта и технического обслуживания всех узлов...","RUR","null","60000"
"Региональный менеджер по продажам","продажи промышленных комплектующих (подшипники, ремни, цепи и т.д). -ведение действующих клиентов. -поиск новых клиентов. -формирование коммерческих предложений. -","От вас: -опыт активных продаж. -готовность к краткосрочным командировкам. -желание работать на результат. -права категории &quot;В&quot;. Желательно: -техническое образование. -","RUR","35000","90000"
"Электрогазосварщик","Сварка на автоматических и полуавтоматических машинах. Сварка небольших узлов для вагонов, умение варить вертикалом. Марка МЗ400Элой.","Наличие соответствующей записи в трудовой книжке, подтверждающей опыт работы. Наличие удостоверения. 4 разряд.","RUR","66000","71500"
"Торговый представитель/менеджер по продажам","Работа с имеющимися клиентами, поиск новых не требуется.","Опыт работы в продажах от года. Обязательно. - Грамотная речь. - Умение находить подход к клиентам. - Ответственность. - Желание работать и зарабатывать.","RUR","50000","null"
"Менеджер по продажам","Прием входящих звонков от клиентов. Осуществление консультаций клиентов по телефону и в офисе. Расчет стоимости заказов. Ведение документооборота. Заполнение CRM.","Грамотная речь, доброжелательность. Опыт работы в продажах услуг (банковских, телекоммуникационных и т.д) или call-центре будут преимуществом. ","RUR","35000","60000"
"Старший менеджер по транспортной логистике","Оперативное управление деятельностью филиала. Разработка и реализация стратегии развития отношений с клиентами. Выполнение планов по продажам услуг. Контроль дебиторской и...","Опыт работы в транспортно-экспедиционных компаниях от 3-х лет. Развитые менеджерские навыки (планирование работы подразделения; личная эффективность; формирование, воспитание...","RUR","55000","null"
"Комплектовщик","Сканирование товара. Распределение товара по складу. Сбор товара по накладным.","Дисциплинированность. Ответственность.","RUR","50000","null"
"Комплектовщик","Работа со сканером ТСД. Сортировка и сбор заказов.","Желание работать и зарабатывать.","RUR","62400","62400"
"Токарь-универсал","null","опыт работы по профессии. - наличие документов для официального оформления.","RUR","50000","55000"
"Менеджер по продажам","Разработка новой территории, открытие представительства компании в городе. Поиск клиентов с нуля; увеличение активной клиентской базы. Прямые продажи: прием заказов...","Образование высшее. Опыт успешных активных продаж от 1 года. Навыки продаж и переговоров. Высокая обучаемость. Ориентация на результат и высокий...","RUR","25000","60000"
